Adaptable/Flexible,x,x,,x,x
Advocacy,,,x,,
CC-Creative Thinking,x,x,x,x,x
CC-Critical Thinking,x,x,x,x,x
CC-Decision-Making,x,x,x,x,x
CC-Emotional Intelligence,x,x,x,x,x
CC-Innovation/Design Thinking,x,x,x,x,x
CC-Inquiry & Analysis,x,x,x,x,x
CC-Integrative Thinking,x,x,x,x,x
CC-Knowledge Acquisition,x,x,x,x,x
CC-Problem Solving,x,x,x,x,x
CC-Quantitative Reasoning,x,x,x,x,x
CC-Reasoning,x,x,x,x,x
CC-Self-awareness of Learning Process,x,x,x,x,x
CC-Strategic Thinking,x,x,x,x,x
Civically Minded,,,X,,
Collaboration/Teamwork,x,x,,x,
Communication,x,x,x,x,
Conflict Analysis and Resolution/Transformation,,,x,,
Creative expression,x,,,,
Cultural and Aesthetic Arts,x,,,x,
Curiosity/Inquisitiveness,x,x,x,,
Emotionally Healthy,,,,,x
Empathy,,x,x,,
Ethical Reasoning,,x,x,x,x
Financial Literacy,,,,x,x
Global Citizenship,,,X,,
Global Mindset,,x,x,,
Independence/Autonomy,,,,,x
Information Literacy,x,x,,x,x
Initiative/Resourcefulness,x,,x,x,x
Integrity,,x,,x,
Intercultural Understanding,,x,x,,
Interpersonal Skills,,x,x,,
Networking,,,x,x,x
Observation and interpretation,,x,x,,
Open-Mindedness,,x,x,,
Organization,x,,x,,
Perseverance,x,,,x,x
Physical Self-Care,,,,x,x
Planning,x,,,,
Positive Self-Esteem/Self-Compassion,,,,x,x
Realistic Self-Confidence/Empowered,,,x,x,
Resilience,,,,X,x
Scientific Imagination,x,,,x,
Scientific Literacy,x,,,,
Self-directed learner,x,,,x,
Social Awareness,,,X,,
Social Consciousness,,x,,,
Socially Integrated,,,,,x
